Movie,Date,Rating,Studio,Final Rating,Story,Character,Performance,Genre Fulfilled,Pacing,Visuals,Enjoyment,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,tmdb_id
Lego Movie,2/11/2014,71,8,,,,,,,,,,,,,,,,,
Captain America: The Winter Soldier,4/7/2014,92,1,,,,,,,,,,,,,,,,,
X-Men: Days of Future Past,5/26/2014,72,19,,,,,,,,,,,,,,,,,
Guardians of the Galaxy,8/5/2014,88,1,,,,,,,,,,,,,,,,,
Dragon Ball Z: Battle of Gods,8/9/2014,82,21,,,,,,,,,,,,,,,,,
Teenage Mutant Ninja Turtles,8/9/2014,62,20,,,,,,,,,,,,,,,,,
Avengers: Age of Ultron,5/3/2015,74,1,,,,,,,,,,,,,,,,,
Jurassic World,6/12/2015,75,5,,,,,,,,,,,,,,,,,
Inside Out,6/19/2015,93,4,,,,,,,,,,,,,,,,,
Ant-Man,7/17/2015,77,1,,,,,,,,,,,,,,,,,
Dragon Ball Z: Resurrection F,8/4/2015,84,21,,,,,,,,,,,,,,,,,
Star Wars: Episode VII - The Force Awakens,12/18/2015,91,16,,,,,,,,,,,,,,,,,
Deadpool,2/12/2016,95,19,,,,,,,,,,,,,,,,,
Batman v Superman: Dawn of Justice,3/25/2016,78,2,,,,,,,,,,,,,,,,,
Captain America: Civil War,5/6/2016,97,1,,,,,,,,,,,,,,,,,
Captain America: Civil War,5/8/2016,97,1,,,,,,,,,,,,,,,,,
X-Men: Apocalypse,5/27/2016,60,1,,,,,,,,,,,,,,,,,
Teenage Mutant Ninja Turtles: Out of the Shadows,6/3/2016,55,20,,,,,,,,,,,,,,,,,
Suicide Squad,8/5/2016,61,2,,,,,,,,,,,,,,,,,
Doctor Strange,11/4/2016,83,1,,,,,,,,,,,,,,,,,
Rogue One: A Star Wars Story,12/16/2016,89,16,,,,,,,,,,,,,,,,,
Assassin's Creed,12/21/2016,52,19,,,,,,,,,,,,,,,,,
Sing,12/21/2016,63,7,,,,,,,,,,,,,,,,,
Logan,3/3/2017,92,19,,,,,,,,,,,,,,,,,
Guardians of the Galaxy Vol. 2,5/5/2017,83,1,,,,,,,,,,,,,,,,,
Wonder Woman,6/2/2017,86,2,,,,,,,,,,,,,,,,,
Captain Underpants,6/27/2017,66,6,,,,,,,,,,,,,,,,,
Spider-Man: Homecoming,7/7/2017,91,12,,,,,,,,,,,,,,,,,
Thor: Ragnarok,11/3/2017,92,1,,,,,,,,,,,,,,,,,
Justice League,11/17/2017,75,2,,,,,,,,,,,,,,,,,
Star Wars: Episode VIII - The Last Jedi,12/15/2017,76,16,,,,,,,,,,,,,,,,,
