Title,Date,Studio,Final Rating,Story,Character,Performance,Genre Fulfilled,Pacing,Visuals,Enjoyment,W-Story,W-Char.,W-Perf,W-Action,W-Pacing,W-Vis,W-Enjoy,,,
Running Man,11/13/25,10,83,88,78,85,85,80,82,4,22,15.6,12.75,12.75,8,8.2,4,,,
Rental Family,20-Nov,17,69,70,68,72,76,66,60,3,17.5,13.6,10.8,11.4,6.6,6,3,,,
Zootopia 2,26-Nov,3,89,95,90,88,85,88,87,4,23.75,18,13.2,12.75,8.8,8.7,4,,,
Eternity,26-Nov,14,81,85,86,87,70,85,75,3,21.25,17.2,13.05,10.5,8.5,7.5,3,,,
Five Nights at Freddy's 2,4-Dec,5,68,42,65,70,86,84,90,4,10.5,13,10.5,12.9,8.4,9,4,,,
Ella McCay,11-Dec,17,68,63,72,82,65,55,69,3,15.75,14.4,12.3,9.75,5.5,6.9,3,,,
Avatar: Fire and Ash,18-Dec,17,90,89,85,95,92,80,100,5,22.25,17,14.25,13.8,8,10,5,,,
"Housemaid, The",18-Dec,12,79,83,93,68,84,67,59,4,20.75,18.6,10.2,12.6,6.7,5.9,4,,,
Anaconda,24-Dec,23,78,86,72,75,82,77,68,4,21.5,14.4,11.25,12.3,7.7,6.8,4,,,
Greenland 2: Migration,8-Jan,14,48,40,45,48,53,44,62,3,10,9,7.2,7.95,4.4,6.2,3,,,
Is This Thing On?,8-Jan,17,58,64,50,59,65,57,50,3,16,10,8.85,9.75,5.7,5,3,,,
Night Patrol,15-Jan,22,38,35,35,39,41,48,37,2,8.75,7,5.85,6.15,4.8,3.7,2,,,
28 Years Later: The Bone Temple,15-Jan,12,64,62,63,68,65,60,70,3,15.5,12.6,10.2,9.75,6,7,3,,,
Mercy,22-Jan,13,64,71,68,60,55,58,53,4,17.75,13.6,9,8.25,5.8,5.3,4,,,
Send Help,29-Jan,17,61,64,58,63,68,57,55,3,16,11.6,9.45,10.2,5.7,5.5,3,,,
Shelter,29-Jan,22,55,48,50,45,65,68,64,3,12,10,6.75,9.75,6.8,6.4,3,,,
Iron Lung,31-Jan,22,59,55,56,63,63,64,59,3,13.75,11.2,9.45,9.45,6.4,5.9,3,,,
"Moment, The",10-Feb,24,30,22,25,31,35,26,45,2,5.5,5,4.65,5.25,2.6,4.5,2,,,
"Good Luck, Have Fun, Don't Die",10-Feb,22,85,72,85,90,90,92,84,5,18,17,13.5,13.5,9.2,8.4,5,,,
Crime 101,12-Feb,13,48,42,49,58,52,40,46,3,10.5,9.8,8.7,7.8,4,4.6,3,,,
Cold Storage,12-Feb,22,69,70,65,65,72,70,68,4,17.5,13,9.75,10.8,7,6.8,4,,,
Nirvana the Band the Show the Movie,19-Feb,22,71,72,76,68,74,58,70,4,18,15.2,10.2,11.1,5.8,7,4,,,
Goat,19-Feb,12,64,60,64,68,66,70,65,3,15,12.8,10.2,9.9,7,6.5,3,,,
How to Make a Killing,19-Feb,24,67,60,70,65,72,76,55,4,15,14,9.75,10.8,7.6,5.5,4,,,
Twenty One Pilots: More Than We Ever Imagined,25-Feb,22,100,100,100,100,100,100,100,5,25,20,15,15,10,10,5,,,
EPiC: Elvis Presley In Concert,27-Feb,22,58,50,52,60,63,68,70,3,12.5,10.4,9,9.45,6.8,7,3,,,
Hoppers,5-Mar,4,82,85,86,80,78,80,77,4,21.25,17.2,12,11.7,8,7.7,4,,,
Scream 7,12-Mar,10,63,58,63,56,69,73,64,3,14.5,12.6,8.4,10.35,7.3,6.4,3,,"  Is the narrative clear, original, and engaging? Does the beginning, middle, and end connect logically and powerfully?",
Protector,12-Mar,22,61,55,60,58,60,67,70,4,13.75,12,8.7,9,6.7,7,4,,  How complex and believable are the main characters? Do they experience meaningful change or growth throughout the movie?,
For Worse,12-Mar,22,69,71,73,72,65,67,55,4,17.75,14.6,10.8,9.75,6.7,5.5,4,,  How convincing and strong are the actors' performances? Do they effectively embody their characters and elevate the script?,
Reminders of Him,12-Mar,5,75,78,80,73,75,65,70,4,19.5,16,10.95,11.25,6.5,7,4,,"How well does this movie live up to its genre? If it is a comedy, does it have plenty of laughs? Action? Horror? Drama?",
Undertone,12-Mar,24,51,42,45,70,55,56,50,2,10.5,9,10.5,8.25,5.6,5,2,,  Does the movie flow smoothly? Does it feel like the right length? Does it drag in spots or rush too quickly through important moments?,
Project Hail Mary,16-Mar,13,83,82,82,84,88,75,90,4,20.5,16.4,12.6,13.2,7.5,9,4,,"  The quality of the cinematography, special effects, costumes, and production design. How visually stunning and immersive is the world?",
Tow,19-Mar,22,65,69,65,64,63,65,59,3,17.25,13,9.6,9.45,6.5,5.9,3,,"  This is your gut reaction. How much did you personally like the movie, regardless of any technical flaws?",
Ready or Not 2: Here I Come,19-Mar,19,69,66,68,70,74,72,68,3,16.5,13.6,10.5,11.1,7.2,6.8,3,,,
,,,0,,,,,,,,0,0,0,0,0,0,0,,100,"Perfect movie, must-see, would watch repeatedly."
,,,,,,,,,,,,,,,,,,,90,"Excellent movie, highly recommend, a truly memorable experience."
,,,,,,,,,,,,,,,,,,,80,"Really good movie, would watch again."
,,,,,,,,,,,,,,,,,,,70,"Good movie, worth watching, but not a must-see, had minor flaws that could detract from the overall enjoyment. Probably watch again."
,,,,,,,,,,,,,,,,,,,60,"Decent movie, watchable but with some noticeable shortcomings. Might watch again."
,,,,,,,,,,,,,,,,,,,50,"Average movie, okay to watch once, nothing particularly stands out. Maybe watch again."
,,,,,,,,,,,,,,,,,,,40,"Not great, but watchable in a pinch, wouldn't actively recommend unless someone has specific interests."
,,,,,,,,,,,,,,,,,,,30,"Terrible movie, wouldn't watch again, don't recommend."
,,,,,,,,,,,,,,,,,,,20,"Not sure if this is even worth watching, significant issues that made it a struggle to get through."
,,,,,,,,,,,,,,,,,,,10,"Don't know why this movie was even made, actively disliked and would strongly advise against watching."
