Movie,Date,Rating,Studio,,Studio Chart,,
Lego Movie,2/11/2014,7,,,ID,Name,Parent Co
Captain America: The Winter Soldier,4/7/2014,9,1,,1,Marvel,Disney
X-Men: Days of Future Past,5/26/2014,7,,,2,DC,Warner Bros
Guardians of the Galaxy,8/5/2014,8,1,,3,Disney,Disney
Teenage Mutant Ninja Turtles,8/9/2014,6,,,4,Pixar,Disney
Dragon Ball Z: Battle of Gods,8/9/2014,8,,,5,Universal,Comcast
Avengers: Age of Ultron,5/3/2015,7,1,,6,DreamWorks,Comcast
Jurassic World,6/12/2015,7,,,7,Illumination,Comcast
Inside Out,6/19/2015,9,,,8,Warner Bros,Warner Bros
Ant-Man,7/17/2015,7,1,,9,New Line Cinema,Warner Bros
Dragon Ball Z: Resurrection F,8/4/2015,8,,,10,Paramount,Paramount
Star Wars: Episode VII - The Force Awakens,12/18/2015,9,,,11,Miramax,Paramount
Deadpool,2/12/2016,9,1,,12,Sony Pictures,Sony Corp
Batman v Superman: Dawn of Justice,3/25/2016,7,2,,13,MGM,Amazon
Captain America: Civil War,5/6/2016,9,1,,14,Lionsgate,Public Traded
Captain America: Civil War,5/8/2016,9,1,,15,A24,Indy
X-Men: Apocalypse,5/27/2016,6,1,,16,Lucasfilm,Disney
Teenage Mutant Ninja Turtles: Out of the Shadows,6/3/2016,5,,,17,20th Century,Disney
Suicide Squad,8/5/2016,6,2,,18,Searchlight,Disney
Doctor Strange,11/4/2016,8,1,,,,
Rogue One: A Star Wars Story,12/16/2016,8,,,,,
Assassin's Creed,12/21/2016,5,,,,,
Sing,12/21/2016,6,,,,,
Logan,3/3/2017,9,,,,,
Guardians of the Galaxy Vol. 2,5/5/2017,8,,,,,
Wonder Woman,6/2/2017,8,,,,,
Captain Underpants,6/27/2017,6,,,,,
Spider-Man: Homecoming,7/7/2017,9,,,,,
Thor: Ragnarok,11/3/2017,9,,,,,
Justice League,11/17/2017,7,,,,,
Star Wars: Episode VIII - The Last Jedi,12/15/2017,7,,,,,
Black Panther,2/16/2018,10,,,,,
Winchester,2/18/2018,7,,,,,
Annihilation,2/23/2018,6,,,,,
Unsane,3/23/2018,6,,,,,
Avengers: Infinity War,4/26/2018,10,,,,,
Avengers: Infinity War,4/27/2018,10,,,,,
Avengers: Infinity War,4/28/2018,10,,,,,
Avengers: Infinity War,5/12/2018,10,,,,,
Avengers: Infinity War,5/13/2018,10,,,,,
Solo: A Star Wars Story,5/25/2018,6,,,,,
Deadpool 2,6/27/2018,9,,,,,
